BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
3201,Häggenschwil,39.5,39,39,39.1,39.1,38.8,39.1,39.2,38.7,38.5,38.3,38.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3202,Muolen,39.4,39.7,39.4,39.5,39.3,39,38.4,38.7,38.5,38.4,38.1,37.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3203,Stadt St.Gallen,41.5,41.5,41.6,41.5,41.5,41.4,41.3,41.3,41.3,41.3,41.3,41.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3204,Wittenbach,43.6,43.7,43.6,43.3,43,42.8,42.8,42.7,42.6,42.2,42.1,41.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3211,Berg (SG),43.3,43.7,43.4,43.1,42.6,41.9,41.9,42.1,41.8,42.2,41.7,41.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3212,Eggersriet,43.9,43.6,43.2,43.1,43,42.6,42.5,42.4,42.4,42,42.3,42.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3213,Goldach,44.4,44.2,44.1,44.2,44.3,44.2,43.9,43.5,43.2,43.2,43,42.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3214,Mörschwil,43.3,42.6,42.5,42.5,42.2,41.9,41.8,41.5,41.3,40.8,40.6,40.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3215,Rorschach,42.7,42.6,42.8,42.6,42.3,42.2,42.2,42.2,42.1,42,41.9,41.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3216,Rorschacherberg,44.5,44.4,44.3,44,44,43.9,43.5,43.4,43.3,42.9,42.7,42.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3217,Steinach,44.3,44.3,43.8,43.7,43.3,43,42.9,43,42.6,42.6,42.5,42.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3218,Tübach,40.8,41.1,41.2,41.2,41.3,40.9,41,41.1,41,40.9,40.4,40.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3219,Untereggen,42.1,41.5,41.2,40.5,40.3,39.3,39.2,39.4,38.8,37.9,37.7,37.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3231,Au (SG),42.4,42.5,42.5,42.2,42.1,42,41.8,41.6,41.4,41.4,41.3,41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
