BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
1,Gesamtschweiz,8'738'791,8'670'300,8'606'033,8'544'527,8'484'130,8'419'550,8'327'126,8'237'666,8'139'631,8'039'060,7'954'662,7'870'134,7'785'806,7'701'856,7'593'494,7'508'739,7'459'128,7'415'102,7'364'148,7'313'853,7'255'653,7'204'055,7'164'444,7'123'537,7'096'465,7'081'346,7'062'354,7'019'019,6'968'570,6'907'959,6'842'768,6'750'693,6'673'850,6'619'973,6'566'799,6'523'413,6'484'834,6'455'896,6'427'833,6'409'713,6'372'904
5,Grossregion Ostschweiz,1'203'715,1'193'069,1'183'813,1'176'321,1'169'358,1'162'684,1'153'485,1'144'572,1'134'781,1'123'672,1'113'929,1'103'641,1'094'202,1'085'698,1'073'904,1'065'253,1'061'852,1'059'586,1'056'524,1'051'164,1'045'895,1'043'836,1'041'863,1'038'600,1'036'181,1'036'625,1'033'084,1'027'485,1'017'546,1'005'266,992'243,971'013,957'931,947'979,939'064,931'704,925'834,920'515,915'661,911'505,905'467
8,Kanton Glarus,41'190,40'851,40'590,40'403,40'349,40'147,40'028,39'794,39'593,39'369,39'217,38'608,38'479,38'370,38'237,38'084,38'173,38'317,38'502,38'322,38'216,38'546,38'708,38'698,38'735,39'161,39'410,39'388,39'138,38'976,38'720,37'648,37'253,36'953,36'674,36'580,36'419,36'423,36'240,36'196,36'249
14,Kanton Schaffhausen,83'995,83'107,82'348,81'991,81'351,80'769,79'836,79'417,78'783,77'955,77'139,76'356,75'657,75'303,74'527,73'866,73'764,73'788,73'968,73'834,73'229,73'305,73'552,73'725,73'741,73'835,74'035,73'894,73'588,73'028,72'457,71'697,70'949,70'317,70'094,69'781,69'643,69'630,69'650,69'735,69'610
15,Kanton Appenzell a.Rh.,55'585,55'309,55'445,55'234,55'178,54'954,54'543,54'064,53'691,53'438,53'313,53'017,53'043,53'054,52'654,52'509,52'561,52'841,52'976,53'097,53'138,53'515,53'737,53'816,54'011,54'136,54'104,54'227,54'087,53'449,52'437,51'470,50'882,50'328,49'782,49'342,49'140,48'803,48'582,48'223,47'702
16,Kanton Appenzell i.Rh.,16'360,16'293,16'128,16'145,16'105,16'003,15'974,15'854,15'778,15'717,15'743,15'688,15'681,15'549,15'471,15'300,15'220,15'029,15'010,14'985,14'977,15'021,14'946,14'873,14'887,14'833,14'750,14'742,14'680,14'548,14'251,13'573,13'504,13'333,13'140,13'137,13'128,13'042,13'014,12'904,12'781
17,Kanton St.Gallen,519'245,514'504,510'734,507'697,504'686,502'552,499'065,495'824,491'699,487'060,483'156,478'907,474'676,471'152,465'937,461'810,459'999,458'821,457'289,455'251,452'904,449'399,447'609,444'891,443'880,443'839,442'350,440'744,436'967,432'819,427'648,420'268,414'718,410'773,407'012,403'931,401'216,398'626,396'520,394'387,391'671
18,Kanton Graubünden,201'376,200'096,199'021,198'379,197'888,197'550,196'610,195'886,194'959,193'920,193'388,192'621,191'861,190'459,188'762,187'920,187'803,187'812,186'943,185'771,185'225,186'744,186'026,186'118,185'532,185'999,185'063,184'155,181'957,179'279,176'188,170'411,169'005,167'904,167'143,166'494,165'589,164'836,163'949,163'503,162'582
20,Kanton Thurgau,285'964,282'909,279'547,276'472,273'801,270'709,267'429,263'733,260'278,256'213,251'973,248'444,244'805,241'811,238'316,235'764,234'332,232'978,231'836,229'904,228'206,227'306,227'285,226'479,225'395,224'822,223'372,220'335,217'129,213'167,210'542,205'946,201'620,198'371,195'219,192'439,190'699,189'155,187'706,186'557,184'872
1721,Wahlkreis St.Gallen,123'274,122'903,122'712,122'419,122'101,121'981,121'722,121'144,120'330,119'598,118'761,117'823,117'007,116'097,114'652,113'621,113'320,113'469,113'364,112'974,112'121,111'612,111'213,110'863,111'424,111'702,111'907,112'277,111'714,111'191,110'642,112'003,111'458,110'881,110'345,110'262,110'209,109'990,109'687,109'554,109'320
1722,Wahlkreis Rorschach,44'146,43'928,43'490,43'142,42'604,42'404,42'266,42'124,41'910,41'585,41'275,41'047,40'840,40'454,40'144,39'601,39'623,39'709,39'583,39'426,39'146,38'527,38'387,38'167,37'870,37'989,37'905,38'037,37'987,37'848,37'707,36'759,36'430,36'067,35'761,35'550,35'166,34'954,34'790,34'533,34'464
1723,Wahlkreis Rheintal,75'399,74'372,73'646,73'094,72'502,72'000,71'063,70'334,69'612,68'792,68'238,67'509,66'522,65'889,64'909,64'138,63'706,63'263,62'964,62'548,62'258,61'847,61'541,61'177,60'755,60'535,60'130,59'324,58'609,57'862,56'782,54'404,53'581,53'072,52'527,52'273,52'237,51'912,51'615,51'353,50'821
1724,Wahlkreis Werdenberg,40'568,39'993,39'630,39'193,38'876,38'445,37'954,37'581,37'072,36'447,36'091,35'644,35'241,35'037,34'442,34'074,33'960,33'771,33'605,33'289,33'117,33'037,32'799,32'549,32'501,32'423,32'181,31'775,31'303,30'711,29'841,29'338,28'628,28'331,27'987,27'712,27'375,26'939,26'533,26'300,25'839
1725,Wahlkreis Sarganserland,42'126,41'490,41'008,40'714,40'461,40'234,39'842,39'692,39'507,39'077,38'421,37'775,37'255,36'892,36'574,36'328,36'103,35'901,35'652,35'553,35'624,35'163,35'176,34'876,34'940,35'115,34'770,34'570,34'136,33'566,32'912,31'958,31'372,31'131,30'891,30'719,30'320,30'208,30'146,30'042,29'761
1726,Wahlkreis See-Gaster,69'386,68'425,67'656,67'089,66'652,66'231,65'763,65'148,64'488,63'669,63'106,62'499,62'115,61'524,60'662,59'935,59'638,59'325,58'992,58'633,58'163,57'209,56'661,56'064,55'698,55'472,55'009,54'576,53'970,53'460,52'881,51'735,50'822,50'266,49'414,48'535,47'844,47'198,46'666,45'998,45'338
1727,Wahlkreis Toggenburg,47'411,46'954,46'546,46'452,46'281,46'215,45'912,45'598,45'261,45'084,45'070,45'056,44'875,44'947,45'051,45'107,45'176,45'358,45'449,45'436,45'609,45'737,46'055,46'182,46'241,46'269,46'408,46'386,46'008,45'360,44'677,42'767,42'116,41'561,41'344,40'905,40'656,40'431,40'400,40'361,40'570
1728,Wahlkreis Wil,76'935,76'439,76'046,75'594,75'209,75'042,74'543,74'203,73'519,72'808,72'194,71'554,70'821,70'312,69'503,69'006,68'473,68'025,67'680,67'392,66'866,66'267,65'777,65'013,64'451,64'334,64'040,63'799,63'240,62'821,62'206,61'304,60'311,59'464,58'743,57'975,57'409,56'994,56'683,56'246,55'558
3201,Häggenschwil,1'376,1'389,1'390,1'365,1'332,1'310,1'264,1'225,1'223,1'214,1'200,1'187,1'164,1'183,1'167,1'137,1'166,1'186,1'197,1'204,1'194,1'134,1'093,1'074,1'062,1'037,1'006,1'005,1'006,1'004,987,860,827,803,807,761,769,752,771,776,766
3202,Muolen,1'242,1'224,1'220,1'200,1'200,1'208,1'205,1'165,1'167,1'178,1'165,1'160,1'128,1'106,1'103,1'114,1'111,1'117,1'108,1'100,1'095,1'095,1'049,1'041,1'020,1'004,986,985,996,1'012,1'035,980,970,975,977,956,937,929,904,888,869
3203,Stadt St.Gallen,76'328,76'213,76'090,75'833,75'522,75'481,75'538,75'310,74'581,74'111,73'505,72'959,72'642,72'040,71'126,70'375,70'316,70'533,70'628,70'444,69'857,69'836,69'769,69'747,70'601,71'384,71'877,72'505,72'391,72'023,71'661,73'367,73'191,72'915,72'610,72'910,73'227,73'477,73'670,74'117,74'405
3204,Wittenbach,9'847,9'747,9'706,9'691,9'784,9'779,9'652,9'576,9'588,9'572,9'431,9'280,9'125,8'986,8'758,8'661,8'648,8'592,8'511,8'448,8'492,8'457,8'434,8'285,8'222,8'064,8'032,7'910,7'828,7'736,7'801,7'775,7'729,7'745,7'745,7'732,7'657,7'705,7'552,7'418,7'411
3211,Berg (SG),905,866,851,850,823,843,840,832,838,835,853,846,868,869,878,872,880,875,864,859,853,847,847,825,833,834,825,833,830,837,825,808,797,800,802,808,750,727,718,683,661
3212,Eggersriet,2'341,2'334,2'339,2'280,2'275,2'293,2'262,2'246,2'243,2'238,2'171,2'169,2'164,2'195,2'206,2'182,2'178,2'151,2'179,2'149,2'160,2'125,2'132,2'145,2'139,2'085,2'044,2'028,2'002,2'003,2'005,1'945,1'919,1'894,1'911,1'880,1'898,1'870,1'899,1'859,1'841
3213,Goldach,9'521,9'476,9'504,9'269,9'048,9'052,9'110,9'210,9'267,9'151,9'144,9'065,9'026,9'054,9'005,8'912,8'966,8'993,8'926,8'844,8'788,8'599,8'525,8'453,8'302,8'257,8'217,8'291,8'412,8'413,8'497,8'268,8'267,8'166,8'164,8'076,7'929,7'931,7'901,7'935,7'927
3214,Mörschwil,3'638,3'676,3'658,3'585,3'583,3'569,3'561,3'596,3'586,3'576,3'518,3'508,3'462,3'416,3'366,3'396,3'400,3'345,3'347,3'302,3'278,3'133,3'076,2'998,2'967,2'904,2'790,2'691,2'668,2'618,2'589,2'479,2'442,2'412,2'389,2'360,2'306,2'278,2'186,2'130,2'046
3215,Rorschach,9'545,9'646,9'438,9'441,9'418,9'408,9'214,9'100,8'988,8'918,8'840,8'883,8'817,8'743,8'621,8'458,8'479,8'515,8'591,8'622,8'630,8'668,8'780,8'951,9'075,9'344,9'473,9'544,9'562,9'606,9'552,9'250,9'190,9'279,9'262,9'325,9'351,9'431,9'602,9'614,9'769
3216,Rorschacherberg,7'592,7'465,7'382,7'286,7'177,7'090,7'214,7'117,6'965,7'027,6'965,6'922,6'913,6'756,6'665,6'549,6'466,6'586,6'492,6'468,6'407,6'405,6'375,6'295,6'234,6'319,6'414,6'460,6'496,6'407,6'373,6'238,6'174,6'011,5'956,5'924,5'871,5'702,5'536,5'379,5'312
