BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
1,Gesamtschweiz,5.4,5.3,5.3,5.2,5.1,5.1,5.,5.,4.9,4.9,4.8,4.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
5,Grossregion Ostschweiz,5.4,5.3,5.2,5.1,5.,5.,4.9,4.8,4.8,4.7,4.7,4.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
8,Kanton Glarus,5.6,5.5,5.6,5.6,5.5,5.6,5.4,5.4,5.4,5.3,5.3,5.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
14,Kanton Schaffhausen,6.4,6.3,6.3,6.2,6.1,6.1,6.,6.,6.,5.9,5.8,5.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
15,Kanton Appenzell a.Rh.,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
16,Kanton Appenzell i.Rh.,6.,5.9,5.9,5.8,5.6,5.5,5.6,5.3,5.4,5.2,5.,4.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
17,Kanton St.Gallen,5.1,5.1,5.1,5.,4.8,4.7,4.7,4.6,4.5,4.5,4.4,4.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
18,Kanton Graubünden,6.1,5.9,5.8,5.7,5.6,5.5,5.3,5.3,5.2,5.1,5.,4.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
20,Kanton Thurgau,4.8,4.7,4.7,4.6,4.5,4.5,4.4,4.3,4.3,4.3,4.3,4.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1721,Wahlkreis St.Gallen,5.5,5.4,5.5,5.4,5.3,5.3,5.2,5.2,5.1,5.1,5.,5.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1722,Wahlkreis Rorschach,5.5,5.4,5.4,5.3,5.2,5.1,5.1,5.,4.9,4.9,4.9,4.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1723,Wahlkreis Rheintal,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.1,4.,4.,3.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1724,Wahlkreis Werdenberg,4.2,4.2,4.1,4.,3.8,3.8,3.7,3.7,3.6,3.7,3.7,3.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1725,Wahlkreis Sarganserland,5.1,5.,5.1,4.9,4.8,4.7,4.5,4.4,4.3,4.3,4.2,4.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1726,Wahlkreis See-Gaster,5.4,5.3,5.2,5.,4.8,4.7,4.6,4.4,4.3,4.2,4.,4.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1727,Wahlkreis Toggenburg,5.5,5.5,5.5,5.4,5.3,5.2,5.3,5.3,5.2,5.1,5.1,5.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1728,Wahlkreis Wil,4.9,4.8,4.8,4.7,4.6,4.5,4.3,4.2,4.1,4.,4.,3.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3201,Häggenschwil,4.5,4.8,5.,5.1,5.1,5.,5.1,5.2,5.2,5.,4.8,5.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3202,Muolen,3.5,3.9,4.2,4.2,4.2,4.,3.6,3.7,3.9,4.2,3.9,4.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3203,Stadt St.Gallen,5.5,5.5,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3204,Wittenbach,6.3,6.2,5.9,5.6,5.3,5.2,5.1,5.1,4.8,4.5,4.3,4.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3211,Berg (SG),4.9,5.2,5.4,4.4,4.1,3.8,3.6,2.6,2.5,2.3,2.5,2.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3212,Eggersriet,5.6,5.1,4.9,4.6,4.6,4.3,4.1,4.1,3.9,3.8,3.6,3.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3213,Goldach,6.5,6.3,6.5,6.6,6.5,6.3,6.2,5.9,5.8,5.8,5.6,5.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3214,Mörschwil,4.7,4.4,4.3,4.2,4.2,4.2,4.3,4.1,3.8,3.8,3.7,3.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3215,Rorschach,5.5,5.6,5.8,5.7,5.6,5.6,5.7,5.9,5.9,6.,5.9,5.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3216,Rorschacherberg,5.3,5.,4.9,4.7,4.7,4.6,4.6,4.7,4.7,4.6,4.7,4.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3217,Steinach,6.3,6.2,5.7,5.7,5.3,5.2,5.1,5.1,5.2,5.1,5.2,4.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3218,Tübach,4.5,4.4,4.2,4.7,4.5,4.2,4.3,4.2,4.1,4.2,3.9,3.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3219,Untereggen,2.6,2.8,3.1,3.3,3.,2.5,2.3,2.5,2.7,2.7,2.8,2.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3231,Au (SG),5.8,5.8,5.6,5.5,5.1,5.,4.6,4.4,4.3,4.3,4.3,4.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3232,Balgach,4.7,4.8,4.9,5.,4.9,4.9,4.9,4.9,4.7,4.6,4.6,4.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3233,Berneck,5.2,5.4,5.3,5.1,5.2,5.1,4.9,4.9,4.5,4.5,4.7,4.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3234,Diepoldsau,3.4,3.4,3.2,3.2,3.,3.1,2.8,2.8,2.9,2.8,2.9,3.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3235,Rheineck,6.2,5.9,5.7,5.5,5.4,5.4,5.4,5.4,5.4,5.5,5.1,5.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3236,St.Margrethen,5.,5.2,5.1,5.1,4.7,4.5,4.5,4.3,4.5,4.4,4.5,4.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3237,Thal,5.,4.8,5.,4.8,4.8,4.7,4.6,4.2,4.,3.8,3.9,3.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3238,Widnau,4.5,4.3,4.,3.8,3.6,3.5,3.5,3.5,3.3,3.4,3.4,3.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3251,Altstätten,4.8,4.7,4.7,4.7,4.6,4.6,4.6,4.8,4.9,4.7,4.8,4.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3252,Eichberg,4.2,3.7,3.4,3.2,2.9,2.7,2.8,2.8,3.1,2.8,2.9,3.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3253,Marbach (SG),3.7,3.4,3.8,3.3,3.5,3.4,3.3,3.3,3.2,3.,3.1,3.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3254,Oberriet (SG),4.1,4.,3.9,3.8,3.7,3.6,3.5,3.5,3.4,3.3,3.2,3.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3255,Rebstein,4.8,5.,4.9,4.8,4.9,4.5,4.3,4.3,4.5,4.4,4.3,4.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3256,Rüthi (SG),3.5,3.4,3.3,3.4,3.4,3.3,3.4,3.5,3.6,3.9,3.7,3.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3271,Buchs (SG),4.6,4.5,4.5,4.4,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3272,Gams,3.8,3.9,3.9,3.8,3.8,3.5,3.2,3.2,3.3,3.6,3.5,3.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3273,Grabs,4.6,4.4,4.3,4.3,4.3,4.2,4.,3.8,3.7,3.6,3.6,3.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3274,Sennwald,3.7,3.6,3.4,3.3,3.1,3.3,3.3,3.2,3.1,3.1,3.1,3.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3275,Sevelen,3.3,3.3,3.4,3.2,3.1,2.9,3.,2.9,3.,3.,3.,2.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3276,Wartau,4.5,4.4,4.5,4.3,3.8,3.8,3.9,3.9,3.8,3.7,3.6,3.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
