BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
1,Gesamtschweiz,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
5,Grossregion Ostschweiz,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
8,Kanton Glarus,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
14,Kanton Schaffhausen,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
15,Kanton Appenzell a.Rh.,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
16,Kanton Appenzell i.Rh.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
17,Kanton St.Gallen,40.5,41.5,42.4,43.4,44.1,44.8,45.5,46.2,46.7,47.3,47.9,48.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
18,Kanton Graubünden,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
20,Kanton Thurgau,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1721,Wahlkreis St.Gallen,36.4,37.1,37.9,38.8,39.6,40.3,41.2,41.8,42.4,42.9,43.5,44.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1722,Wahlkreis Rorschach,37.9,38.7,39.6,40.4,41.3,41.9,42.6,43.5,43.9,44.6,45.,45.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1723,Wahlkreis Rheintal,43.8,45.1,46.2,47.3,48.1,48.9,49.7,50.4,50.9,51.6,52.2,52.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1724,Wahlkreis Werdenberg,28.2,28.8,29.3,29.8,30.2,30.3,30.8,31.1,31.2,31.3,31.5,31.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1725,Wahlkreis Sarganserland,54.1,55.6,57.,58.3,59.2,60.1,61.,61.8,62.4,63.2,64.,64.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1726,Wahlkreis See-Gaster,46.6,48.,49.2,50.4,51.2,52.1,53.,53.9,54.6,55.3,55.9,56.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1727,Wahlkreis Toggenburg,38.8,39.6,40.4,41.,41.5,41.9,42.4,42.8,43.3,43.8,44.1,44.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1728,Wahlkreis Wil,39.8,40.8,41.7,42.8,43.6,44.3,45.,45.7,46.2,46.8,47.4,47.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3201,Häggenschwil,55.3,57.,56.8,59.,60.1,59.8,61.2,60.2,61.8,63.2,64.5,63.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3202,Muolen,56.9,58.3,59.,60.7,61.9,61.8,62.6,63.4,63.1,62.9,64.5,65.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3203,Stadt St.Gallen,31.9,32.4,33.3,34.1,34.9,35.7,36.6,37.1,37.7,38.,38.7,39.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3204,Wittenbach,34.3,35.1,36.1,36.9,37.6,38.,38.8,39.4,40.3,41.2,41.8,42.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3211,Berg (SG),47.1,48.4,51.,51.6,53.2,54.6,54.5,56.5,55.6,54.4,53.5,54.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3212,Eggersriet,46.,47.1,47.4,48.6,48.4,48.4,48.9,49.2,49.8,50.1,51.3,50.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3213,Goldach,40.9,41.7,42.8,44.1,45.,45.5,46.4,47.2,47.5,48.7,49.5,50.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3214,Mörschwil,50.5,50.7,51.9,52.6,53.4,53.7,54.3,54.6,54.8,55.7,56.6,57.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3215,Rorschach,31.6,32.4,33.1,33.8,34.5,35.1,35.5,36.5,36.8,37.2,37.4,37.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3216,Rorschacherberg,35.4,35.7,37.,37.6,38.3,39.1,40.1,41.2,42.,42.7,43.2,44.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3217,Steinach,40.1,41.9,41.9,43.1,43.9,43.9,44.4,45.7,46.1,47.,47.2,46.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3218,Tübach,45.5,47.1,47.9,48.3,49.6,49.9,51.9,51.8,52.2,53.9,53.2,54.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3219,Untereggen,52.7,53.,53.5,54.4,55.1,56.,56.,57.6,59.5,60.2,59.7,60.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3231,Au (SG),39.5,40.9,42.2,43.6,44.7,45.1,45.8,46.4,47.2,48.5,49.3,50.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3232,Balgach,40.8,41.7,42.6,43.9,45.1,46.,46.4,46.8,46.6,47.2,47.9,47.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3233,Berneck,40.2,41.1,43.1,43.,43.7,44.6,44.7,45.4,46.3,46.5,46.4,46.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3234,Diepoldsau,47.,48.1,49.6,50.5,51.2,51.8,52.4,52.8,53.1,54.2,54.4,54.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3235,Rheineck,32.9,34.2,35.,35.9,35.7,36.6,37.6,38.2,37.3,38.,38.2,39.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3236,St.Margrethen,24.6,25.6,26.5,27.3,28.3,28.9,30.,30.7,31.2,31.4,32.4,33.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3237,Thal,32.3,33.1,33.9,34.3,35.4,36.3,36.9,37.6,37.8,37.9,38.1,39.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3238,Widnau,46.7,48.4,49.8,51.2,51.8,53.,54.6,55.7,56.2,57.4,58.4,58.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3251,Altstätten,45.4,46.5,47.8,48.9,49.8,50.5,51.1,51.6,52.3,52.9,53.4,54.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
