BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
1,Gesamtschweiz,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
5,Grossregion Ostschweiz,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
8,Kanton Glarus,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
14,Kanton Schaffhausen,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
15,Kanton Appenzell a.Rh.,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
16,Kanton Appenzell i.Rh.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
17,Kanton St.Gallen,40.2,38.7,37.3,35.8,34.6,33.5,32.3,31.2,30.3,29.3,28.4,27.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
18,Kanton Graubünden,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
20,Kanton Thurgau,***, , ,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1721,Wahlkreis St.Gallen,45.3,44.3,43.,41.5,40.4,39.2,37.9,36.7,35.7,34.8,33.8,32.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1722,Wahlkreis Rorschach,43.,41.6,40.1,38.6,37.3,36.1,34.8,33.5,32.7,31.7,30.9,29.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1723,Wahlkreis Rheintal,39.5,37.7,36.1,34.5,33.3,32.2,31.1,30.1,29.2,28.1,27.2,26.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1724,Wahlkreis Werdenberg,43.4,41.7,40.2,38.9,37.6,36.6,35.2,33.9,32.8,31.7,30.6,29.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1725,Wahlkreis Sarganserland,33.7,31.9,30.2,28.8,27.7,26.7,25.5,24.7,23.9,23.,22.2,21.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1726,Wahlkreis See-Gaster,36.6,34.7,33.3,31.7,30.6,29.5,28.3,27.2,26.2,25.4,24.6,23.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1727,Wahlkreis Toggenburg,32.,30.6,29.3,28.2,27.2,26.4,25.3,24.3,23.5,22.5,21.9,21.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1728,Wahlkreis Wil,41.1,39.5,38.2,36.6,35.4,34.3,33.1,32.1,31.2,30.1,29.1,28.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3201,Häggenschwil,24.3,21.7,22.1,19.4,17.7,18.1,17.3,17.2,16.2,14.6,14.1,13.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3202,Muolen,20.4,19.4,18.5,16.8,15.8,15.6,14.9,14.,14.4,14.,13.,12.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3203,Stadt St.Gallen,50.6,49.9,48.5,47.,45.8,44.6,43.2,42.1,40.9,40.1,39.,38.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3204,Wittenbach,46.4,45.,43.5,41.9,40.8,39.6,38.1,37.,35.7,34.3,33.5,32.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3211,Berg (SG),34.4,32.3,30.9,28.6,26.7,25.5,25.8,23.9,24.2,25.1,24.6,23.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3212,Eggersriet,29.3,26.6,26.8,24.4,24.1,24.,23.7,23.2,21.7,21.6,20.9,20.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3213,Goldach,41.1,39.5,37.8,36.,34.5,33.3,31.9,30.8,30.1,28.6,27.3,26.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3214,Mörschwil,27.,26.1,24.5,23.,22.,21.3,20.4,19.4,19.6,19.,18.4,17.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3215,Rorschach,55.7,54.4,53.,51.9,50.9,49.8,48.7,47.3,46.9,46.,45.4,44.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3216,Rorschacherberg,45.6,44.7,42.8,41.3,39.8,38.5,36.9,35.4,33.9,32.8,31.9,30.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3217,Steinach,39.3,36.9,36.2,33.9,33.3,32.5,30.9,29.5,29.1,27.9,27.1,26.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3218,Tübach,33.4,30.,29.4,29.,27.4,26.4,23.7,23.5,22.8,21.6,21.4,20.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3219,Untereggen,23.9,23.3,22.8,21.2,20.3,18.7,18.7,17.2,15.,14.2,13.9,13.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3231,Au (SG),47.6,45.4,43.8,41.5,40.,38.8,37.8,36.8,35.5,33.9,32.6,31.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3232,Balgach,35.5,33.8,32.6,30.5,28.1,27.2,26.3,25.4,24.8,23.8,23.,22.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3233,Berneck,33.9,32.6,30.4,29.8,28.4,26.8,26.2,25.1,23.4,23.3,22.4,21.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3234,Diepoldsau,33.4,31.6,29.2,28.2,27.3,26.1,25.3,24.1,23.5,22.2,22.,21.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3235,Rheineck,48.,45.4,43.4,41.7,41.5,40.4,38.4,37.2,37.5,36.3,35.6,34.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3236,St.Margrethen,60.1,58.7,57.2,55.6,54.3,53.4,52.,50.5,49.1,48.2,47.,45.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3237,Thal,41.9,40.4,38.7,37.5,35.8,33.6,32.6,31.5,30.6,29.9,28.9,28.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3238,Widnau,40.6,38.8,37.,35.2,34.3,33.,31.2,29.9,29.3,27.9,26.5,26.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3251,Altstätten,38.2,36.6,35.1,33.4,31.9,31.2,30.6,29.8,29.1,27.9,27.2,26.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
