BFS_NR,GEBIET_NAME,2020,2019,2018
1,Gesamtschweiz,40.3,35.8,34.7
5,Grossregion Ostschweiz,36.2,29.7,28.5
8,Kanton Glarus,37.,27.1,25.8
14,Kanton Schaffhausen,39.9,32.,32.8
15,Kanton Appenzell a.Rh.,40.4,34.5,32.9
16,Kanton Appenzell i.Rh.,37.9,33.6,30.7
17,Kanton St.Gallen,36.4,30.3,29.
18,Kanton Graubünden,36.7,30.1,28.4
20,Kanton Thurgau,36.7,30.2,29.1
1721,Wahlkreis St.Gallen,42.4,35.,34.7
1722,Wahlkreis Rorschach,38.6,31.7,29.8
1723,Wahlkreis Rheintal,34.6,29.9,27.5
1724,Wahlkreis Werdenberg,40.5,35.5,33.4
1725,Wahlkreis Sarganserland,37.1,31.5,26.7
1726,Wahlkreis See-Gaster,38.6,30.6,31.
1727,Wahlkreis Toggenburg,32.7,24.5,26.
1728,Wahlkreis Wil,35.8,32.,30.5
3201,Häggenschwil,59.9,***,***
3202,Muolen,45.4,***,***
3203,Stadt St.Gallen,44.7,37.9,37.6
3204,Wittenbach,33.4,***,***
3211,Berg (SG),51.,***,***
3212,Eggersriet,47.6,***,***
3213,Goldach,31.7,***,***
3214,Mörschwil,49.6,***,***
3215,Rorschach,30.2,***,***
3216,Rorschacherberg,38.3,***,***
3217,Steinach,34.9,***,***
3218,Tübach,44.6,***,***
3219,Untereggen,33.2,***,***
3231,Au (SG),33.5,***,***
3232,Balgach,39.6,***,***
3233,Berneck,42.4,***,***
3234,Diepoldsau,37.1,***,***
3235,Rheineck,31.2,***,***
3236,St.Margrethen,24.1,***,***
3237,Thal,32.3,***,***
3238,Widnau,29.4,***,***
3251,Altstätten,30.1,***,***
3252,Eichberg,44.4,***,***
3253,Marbach (SG),44.,***,***
3254,Oberriet (SG),32.,***,***
3255,Rebstein,32.4,***,***
3256,Rüthi (SG),33.2,***,***
3271,Buchs (SG),36.3,***,***
3272,Gams,40.7,***,***
3273,Grabs,38.6,***,***
3274,Sennwald,38.2,***,***
3275,Sevelen,39.1,***,***
3276,Wartau,36.4,***,***
3291,Bad Ragaz,35.5,***,***
3292,Flums,25.9,***,***
3293,Mels,30.9,***,***
3294,Pfäfers,39.7,***,***
3295,Quarten,34.9,***,***
3296,Sargans,36.9,***,***
3297,Vilters-Wangs,37.4,***,***
3298,Walenstadt,33.1,***,***
3311,Amden,46.1,***,***
3312,Benken (SG),28.3,***,***
3313,Kaltbrunn,26.2,***,***
3315,Schänis,30.7,***,***
3316,Weesen,50.5,***,***
3338,Schmerikon,32.7,***,***
3339,Uznach,31.,***,***
3340,Rapperswil-Jona,46.1,40.1,37.8
3341,Gommiswald,31.1,***,***
3342,Eschenbach (SG),29.4,***,***
3352,Ebnat-Kappel,28.8,***,***
3359,Wildhaus-Alt St. Johann,35.,***,***
3360,Nesslau,30.4,***,***
3372,Hemberg,39.,***,***
3374,Lichtensteig,31.7,***,***
3375,Oberhelfenschwil,40.2,***,***
3378,Neckertal,35.1,***,***
3379,Wattwil,30.3,***,***
3392,Kirchberg (SG),27.,***,***
3393,Lütisburg,39.1,***,***
3394,Mosnang,30.6,***,***
3395,Bütschwil-Ganterschwil,27.2,***,***
3401,Degersheim,31.4,***,***
3402,Flawil,32.3,***,***
3405,Jonschwil,34.4,***,***
3407,Oberuzwil,33.3,***,***
3408,Uzwil,28.1,***,***
3422,Niederbüren,41.5,***,***
3423,Niederhelfenschwil,41.,***,***
3424,Oberbüren,32.7,***,***
3426,Zuzwil (SG),46.1,***,***
3427,Wil (SG),39.7,38.4,35.6
3441,Andwil (SG),49.6,***,***
3442,Gaiserwald,41.4,***,***
3443,Gossau (SG),38.4,30.,30.9
3444,Waldkirch,33.3,***,***
