BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
1,Gesamtschweiz,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
5,Grossregion Ostschweiz,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
8,Kanton Glarus,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
14,Kanton Schaffhausen,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
15,Kanton Appenzell a.Rh.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
16,Kanton Appenzell i.Rh.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
17,Kanton St.Gallen,100.,100.,100.,100.,100.,100.,100.,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,Kanton Graubünden,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
20,Kanton Thurgau,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1721,Wahlkreis St.Gallen,101.8,101.6,102.9,103.5,106.6,106.9,107.,107.9,108.4,108.4,110.3,109,110.1,110.1,110.6,110.7,112,111.1,112.3,109.5,113.2,113.6,114.2,113.7,112.5,112.2,111.3,113.5,112.5,112.5,110.3,108.1,109.7,108.6,109.8
1722,Wahlkreis Rorschach,107.6,109.3,109.1,106.6,107.7,108.4,108.9,110.3,109.5,108,105,104.9,103.8,102.4,102.8,103.8,105.9,103.7,105.2,105.1,101.9,103.2,103.8,106.4,105.2,104.6,105.6,103.8,104.3,102.5,101.8,102.2,100.9,102.7,99.5
1723,Wahlkreis Rheintal,102.5,103.8,101.9,98.7,98.,96.2,97.,97.3,96,96.2,91,96.4,96.7,90.9,91.2,92.2,91.4,91,91,90.8,88.4,89.7,90.7,91.3,91.9,91.2,92.7,92,92.5,92.9,94.6,96.9,95.9,85.8,90.7
1724,Wahlkreis Werdenberg,91.1,91.7,92.7,92.2,94.,94.,94.4,95.8,94,93.6,90.5,94.2,96.6,89.7,92.7,91.8,91.9,90.2,90.8,85.8,86.6,86.8,86.9,86,84.2,84,85.3,83.4,83.8,83,83.4,83.1,82.8,78.6,76.7
1725,Wahlkreis Sarganserland,89.9,88.7,88.7,88.1,87.5,87.1,87.6,86.7,86.7,86.8,88.3,87.1,86.3,86.7,83.6,83.7,84.5,83.3,83,83.8,79.9,81.5,83.1,81.3,81.1,79.5,81.9,79.2,81.8,81.1,82.4,81,81.8,81.7,83.1
1726,Wahlkreis See-Gaster,121.6,119.2,119.4,124.4,119.3,119.,116.3,115,115.6,116.2,118.3,116.3,115,118,116.1,116,112.8,116,116.4,118.2,120.2,115.8,112.4,113.6,112.9,113.9,113.4,112.8,110.5,114.4,112.1,112.2,112.3,113.7,110.5
1727,Wahlkreis Toggenburg,77.2,76.3,75.6,75.3,74.7,76.1,76.,73.8,73.6,73.1,74.2,72.7,72.4,73.7,73.9,74.2,74.8,74.3,74.7,75.9,76.8,77.7,77.3,76.9,77.3,81.3,79,79.5,80.3,79.5,81,83.1,82.8,91.8,88.5
1728,Wahlkreis Wil,95.1,96.4,95.8,95.8,95.2,95.4,96.3,95.9,97.4,97.9,99.8,98.3,97.6,103.8,104.3,103.1,102.4,104.5,101,105.7,103.3,103.2,103.4,102.9,106.4,105.1,104.7,104.9,105.2,103.7,105.6,106,104.5,109,109.5
3201,Häggenschwil,91.1,90.9,89.4,86.5,92.5,92.6,92.8,96.1,83.8,84.6,79.3,80.9,76.5,76.7,77.5,78.8,73,69.9,70.4,79,77.4,83.6,80.6,79.2,82.4,86.8,83.6,81.7,80.8,80.5,83,89.4,90.4,102.1,92
3202,Muolen,81.9,83.5,82.3,84.2,80.3,80.2,82.,79.3,79.6,79.7,83.1,84.7,78.8,72.8,70.4,72.8,77.5,75.8,73.4,84.5,84.2,84.7,87.8,86.9,86.2,89.2,92.6,90.5,90.1,86.8,83.8,86.3,91.5,94.1,98.6
3203,Stadt St.Gallen,104.1,103.1,105.4,106.1,111.4,112.3,112.4,113.1,112.7,114,113.8,114.1,115.3,115.1,115.9,115.6,116.3,115.3,119.1,112.5,118.6,119.2,119.2,119.1,116.3,117.3,115.4,119.1,118.6,116.8,115.3,111.8,114.4,108.7,112.1
3204,Wittenbach,84.2,83.7,86.1,85.5,85.4,85.5,85.9,86.8,95,91.2,95.8,95.7,95.6,96.9,97.5,99.4,98.3,96.3,94.2,98.8,96.2,98.7,103.3,101.5,105.8,101.4,105.6,107.3,106.8,108.9,106.5,110.3,106.8,116.1,112.3
3211,Berg (SG),98.4,133.,115.1,111.1,102.,103.7,104.9,105.5,101.8,99.3,100,94.3,96.6,92.7,98,94.7,90,89.3,98.7,91.5,93.2,100.4,107.9,104.7,104.2,100,107.1,94.8,98.3,104.6,99,91.1,90.8,107.8,107.7
3212,Eggersriet,94.7,93.6,100.3,99.5,91.6,94.4,98.5,99.9,100.8,96.7,105.8,106.3,103.4,105.3,103.5,103.1,104.3,102.4,105.4,102,137.4,115.2,113.8,103.8,102.6,100.5,103.6,100.9,87.6,101.3,96.6,102.1,98.7,114.3,119.6
3213,Goldach,105.6,103.,101.8,103.,102.9,102.1,103.2,102.3,101,102.7,105.3,101.1,100.4,106.5,110.9,109.6,110.3,109.1,113,117.1,112.1,109.9,110.8,113.1,112,120.8,121.3,113.5,108.6,103.8,104.9,108.3,106.3,101.5,106.5
3214,Mörschwil,196.3,184.5,193.9,179.6,192.9,193.2,190.1,186.3,195.3,184.1,183.9,184.3,175.2,181,175.9,177,176.3,164.8,164.1,165.5,164,159.9,154.9,167.4,158.2,151,153.4,152.2,157.7,150.2,147.8,148.5,148.6,178.7,171.6
3215,Rorschach,74.3,76.4,79.1,77.,76.,77.8,78.7,80.7,81.7,81.9,74.2,81.9,83.9,81.3,79,82.1,82.5,82.1,86.1,87.4,86.7,89,92.1,90,94.8,92.8,93.6,93.4,97.8,96.3,98.7,98.6,100.5,97,91.3
3216,Rorschacherberg,107.7,109.6,107.4,109.5,109.5,108.6,106.3,124.6,110.1,106.2,107.5,105,105.6,101.7,102.7,103.8,102.2,105,105.1,96.8,96.8,98,100.6,108.5,101.5,97.3,99,95.5,100.3,98.9,97,96,95.2,106.9,103
3217,Steinach,99.6,99.4,102.6,98.8,99.4,98.,103.5,97.7,105.6,103,97.4,95.4,94.5,92.1,90.9,95.8,97,97.3,100,95.2,89.3,97.2,97.9,99.5,101,95.1,95.1,106,91.1,87.3,90.5,89.2,92.2,84,96.3
3218,Tübach,128.5,136.7,127.5,136.1,135.9,143.4,145.5,127.7,142.5,145.4,153,142.5,130.1,136.9,129.1,122.9,135.2,125.8,143.8,132.4,129.1,134.3,122.7,124.8,118.2,122.7,118.4,111.9,116.1,113.8,105.6,99.4,100.8,93.8,107.2
3219,Untereggen,100.5,100.2,100.8,105.2,102.7,97.7,104.3,98.7,93.4,89.5,91.4,92.5,86.3,88.4,83.7,85.3,85.7,84.4,82.6,90,80.6,84.5,79.9,76.6,85.5,83.9,82.5,82.7,76.7,72.4,77.1,78.1,82.6,101.1,96.4
3231,Au (SG),109.1,109.1,115.6,109.6,112.,115.6,116.6,115.6,117.4,113.7,100.6,119.7,114.6,103.2,99.1,98.3,99.3,104.5,102.4,99,97.8,99.3,103,103.6,106.8,105.5,109.5,112.5,111.8,110.9,116,114.9,118.4,99.4,100.3
3232,Balgach,158.3,167.8,146.7,133.1,129.8,131.3,125.5,143.7,130.7,135.8,122.7,127,138.8,123,118.9,127,112.6,115.8,126.3,124.7,122.2,119.6,118.1,118.3,110.8,109.2,113.8,115.3,113.6,115,120.8,118.1,127.9,132.1,138.1
3233,Berneck,121.8,131.5,119.8,118.8,111.4,115.,117.3,114.1,109.3,112,115.3,115.7,115.3,115,119.5,112.3,112.5,115.9,113.9,104.7,113.6,113.4,112.3,121.1,123.8,109.4,109.2,107.8,108.1,107.6,100.9,105.8,108.5,95.3,100.4
3234,Diepoldsau,107.9,107.5,106.4,103.1,107.5,106.6,109.1,110.3,107.8,109.3,97.7,104.2,99.1,93.6,95.4,100.3,95.5,94.2,85.8,91.9,85.2,82.8,81.2,78.5,81.9,80.1,81.9,76.5,73.6,79.9,77.3,81.6,84.8,83.1,88.6
