BFS_NR,GEBIET_NAME,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
1,Gesamtschweiz,1.6,2.4,2.6,1.9,2.1,2.6,2.7,2.6,2.5,2.5,2.3
5,Grossregion Ostschweiz,1.2,1.9,2.,1.5,1.6,1.8,2.,1.9,1.8,1.9,1.7
8,Kanton Glarus,1.,1.7,1.8,1.2,1.4,1.8,2.,1.8,1.9,2.1,2.
14,Kanton Schaffhausen,2.,2.7,3.,2.4,2.6,2.7,2.7,2.7,2.4,2.2,2.1
15,Kanton Appenzell a.Rh.,1.,1.5,1.8,1.3,1.3,1.5,1.5,1.6,1.5,1.4,1.3
16,Kanton Appenzell i.Rh.,0.3,0.6,0.9,0.9,0.8,0.8,0.9,0.9,0.9,1.2,1.
17,Kanton St.Gallen,1.2,2.,2.1,1.5,1.6,1.9,2.1,2.,1.9,2.,1.9
18,Kanton Graubünden,0.8,1.3,1.6,1.,1.1,1.3,1.4,1.5,1.4,1.4,1.3
20,Kanton Thurgau,1.4,2.,2.1,1.6,1.7,1.9,2.1,2.,2.,2.,1.8
1721,Wahlkreis St.Gallen,1.3,2.2,2.3,1.7,1.9,2.2,2.3,2.2,2.2,2.2,2.2
1722,Wahlkreis Rorschach,1.6,2.5,2.6,1.9,2.,2.3,2.6,2.3,2.3,2.4,2.2
1723,Wahlkreis Rheintal,1.5,2.2,2.4,1.7,1.8,2.,2.2,2.1,2.,2.1,2.
1724,Wahlkreis Werdenberg,1.1,1.8,2.,1.4,1.5,1.9,2.,1.9,1.7,1.8,1.7
1725,Wahlkreis Sarganserland,0.8,1.4,1.6,1.,1.1,1.4,1.7,1.6,1.4,1.5,1.5
1726,Wahlkreis See-Gaster,0.9,1.6,1.9,1.3,1.5,1.8,1.8,1.6,1.5,1.9,1.7
1727,Wahlkreis Toggenburg,0.8,1.4,1.6,1.2,1.3,1.7,1.8,1.7,1.6,1.7,1.6
1728,Wahlkreis Wil,1.4,2.,2.1,1.5,1.6,1.9,2.,1.8,1.6,2.,1.9
3201,Häggenschwil,0.6,0.8,0.8,0.8,1.2,1.1,1.,1.6,1.1,1.2,1.
3202,Muolen,0.4,1.1,0.9,0.4,0.7,0.8,1.1,0.4,0.7,0.5,1.
3203,Stadt St.Gallen,1.4,2.5,2.6,1.9,2.1,2.4,2.6,2.5,2.5,2.5,2.5
3204,Wittenbach,1.6,2.7,2.6,2.,2.,2.2,2.3,2.,2.3,2.2,2.1
3211,Berg (SG),1.5,0.8,1.2,0.9,1.,1.2,1.7,0.6,0.7,0.9,0.5
3212,Eggersriet,0.9,0.9,1.2,0.7,0.8,1.3,1.,0.8,1.,1.,1.
3213,Goldach,1.4,2.3,2.6,1.8,1.8,2.1,2.3,2.,2.2,2.2,2.
3214,Mörschwil,0.8,1.,1.2,1.,0.8,0.7,0.9,0.7,0.9,0.9,0.9
3215,Rorschach,2.6,3.8,4.2,3.1,3.3,4.1,4.3,3.8,3.7,3.7,3.5
3216,Rorschacherberg,1.6,2.5,2.3,1.9,2.1,2.3,2.5,2.6,2.3,2.5,2.3
3217,Steinach,1.8,2.5,2.3,1.4,1.6,2.3,2.2,2.1,1.8,1.9,1.7
3218,Tübach,0.5,1.3,1.4,0.7,0.8,1.1,1.5,1.,1.1,1.8,1.
3219,Untereggen,0.3,0.5,0.6,0.4,0.3,0.4,0.5,0.9,0.8,0.2,0.6
3231,Au (SG),2.3,3.,3.,2.2,2.3,2.6,2.5,2.6,2.6,2.8,2.6
3232,Balgach,0.9,1.8,2.,1.3,1.4,1.7,1.9,1.8,1.8,1.4,1.4
3233,Berneck,0.9,1.6,1.9,1.3,1.2,1.6,1.5,1.7,1.2,1.4,1.6
3234,Diepoldsau,1.3,2.,2.,1.4,1.5,1.6,1.6,1.5,1.4,1.4,1.4
3235,Rheineck,2.,2.7,2.9,2.3,2.5,2.7,3.3,3.1,2.3,2.6,2.1
3236,St.Margrethen,2.6,3.3,3.7,2.7,2.9,3.5,3.9,3.3,3.1,3.7,3.4
3237,Thal,1.3,2.4,2.4,1.5,1.6,1.9,2.3,2.1,2.1,2.3,2.3
3238,Widnau,1.,2.3,2.6,1.6,1.8,2.1,2.3,2.2,2.3,2.2,2.3
3251,Altstätten,1.8,2.2,2.6,1.8,1.7,2.,2.2,2.1,2.1,2.2,2.2
3252,Eichberg,0.5,1.4,1.7,0.8,1.1,1.2,1.3,1.4,1.3,1.3,0.9
3253,Marbach (SG),1.4,1.5,1.5,1.1,1.1,1.4,1.5,1.6,1.1,1.1,1.5
3254,Oberriet (SG),0.7,1.4,1.4,1.,1.1,1.4,1.3,1.2,1.4,1.2,1.2
3255,Rebstein,1.5,2.9,3.3,2.,1.9,2.3,2.5,2.6,2.6,2.8,2.6
3256,Rüthi (SG),1.1,1.5,2.,1.7,1.6,1.6,1.8,1.7,2.2,1.4,1.5
3271,Buchs (SG),1.5,2.3,2.5,1.8,1.8,2.2,2.4,2.2,2.2,2.2,2.
3272,Gams,0.7,1.2,1.3,1.,1.4,1.4,1.4,1.5,1.1,1.1,1.
3273,Grabs,0.6,1.,1.1,0.9,1.1,1.3,1.4,1.2,1.2,1.3,1.5
3274,Sennwald,0.9,1.6,1.9,1.3,1.5,2.2,2.3,2.,1.5,1.5,1.7
3275,Sevelen,1.7,2.2,2.5,1.7,1.8,2.1,2.2,2.3,1.8,1.9,2.
3276,Wartau,0.9,1.7,1.9,1.4,1.3,1.4,1.8,1.8,2.,1.8,1.7
3291,Bad Ragaz,1.1,1.6,2.,1.2,1.2,1.6,1.9,2.,1.8,2.1,1.9
3292,Flums,0.7,1.5,1.8,1.1,1.2,1.7,2.1,1.7,1.3,1.5,1.5
3293,Mels,0.6,1.3,1.4,0.9,0.9,1.2,1.7,1.4,1.2,1.3,1.2
3294,Pfäfers,0.9,0.5,0.6,0.4,0.7,0.4,0.6,0.7,0.6,0.7,0.4
3295,Quarten,1.1,1.5,1.7,0.9,1.2,1.4,1.8,1.4,1.4,1.6,1.3
3296,Sargans,1.,2.,1.8,1.3,1.5,1.7,2.1,2.1,1.6,2.,2.1
3297,Vilters-Wangs,0.9,1.1,1.2,0.7,1.,1.3,1.2,1.3,1.2,1.1,1.2
3298,Walenstadt,0.7,1.2,1.6,1.1,1.2,1.4,1.4,1.4,1.3,1.5,1.5
3311,Amden,0.3,0.8,0.9,0.5,0.5,0.7,0.9,0.7,0.7,0.9,0.9
3312,Benken (SG),0.8,1.4,1.3,0.9,1.4,1.8,1.5,1.3,1.,1.4,1.5
3313,Kaltbrunn,0.6,1.6,1.8,1.1,1.2,1.5,1.8,1.6,1.3,1.7,1.7
3315,Schänis,0.7,1.2,1.7,1.1,1.2,1.5,1.7,1.4,1.2,1.5,1.5
3316,Weesen,1.,2.3,1.9,1.,1.3,1.7,1.6,1.6,1.3,1.5,1.3
3338,Schmerikon,1.1,1.9,2.5,1.7,1.8,2.,2.2,2.,1.5,2.2,2.
3339,Uznach,1.,2.3,2.8,1.9,2.2,2.4,2.4,2.1,2.,2.3,1.9
3340,Rapperswil-Jona,1.,1.7,1.9,1.4,1.6,2.,1.9,1.7,1.6,2.,1.8
3341,Gommiswald,0.6,1.2,1.6,1.,1.3,1.4,1.5,1.2,1.5,1.4,1.4
