MONAT,WOCHENTAG,PLZ,PRODUKT_GRUPPE,ANZAHL
01/01/2020,DI,9000,ECO,4251
01/01/2020,DI,9000,SEM,274
01/01/2020,DI,9000,PRI,9350
01/01/2020,DO,9000,ECO,4345
01/01/2020,DO,9000,PRI,8041
01/01/2020,DO,9000,SEM,227
01/01/2020,FR,9000,ECO,4809
01/01/2020,FR,9000,SEM,238
01/01/2020,FR,9000,PRI,8662
01/01/2020,MI,9000,SEM,220
01/01/2020,MI,9000,ECO,4431
01/01/2020,MI,9000,PRI,8454
01/01/2020,MO,9000,PRI,5725
01/01/2020,MO,9000,ECO,3335
01/01/2020,MO,9000,SEM,120
01/01/2020,SA,9000,SEM,121
01/01/2020,SA,9000,ECO,58
01/01/2020,SA,9000,PRI,1856
01/01/2020,SO,9000,ECO,1
01/01/2020,SO,9000,PRI,5
01/01/2020,DI,9001,PRI,40
01/01/2020,DI,9001,ECO,50
01/01/2020,DI,9001,SEM,3
01/01/2020,DO,9001,PRI,30
01/01/2020,DO,9001,ECO,48
01/01/2020,FR,9001,ECO,52
01/01/2020,FR,9001,SEM,3
01/01/2020,FR,9001,PRI,41
01/01/2020,MI,9001,PRI,39
01/01/2020,MI,9001,SEM,2
01/01/2020,MI,9001,ECO,43
01/01/2020,MO,9001,PRI,48
01/01/2020,MO,9001,ECO,38
01/01/2020,MO,9001,SEM,5
01/01/2020,SA,9001,SEM,3
01/01/2020,SA,9001,PRI,1
01/01/2020,SA,9001,ECO,1
01/01/2020,FR,9002,PRI,1
01/01/2020,DI,9004,PRI,7
01/01/2020,DI,9004,ECO,4
01/01/2020,DO,9004,ECO,3
01/01/2020,DO,9004,PRI,9
01/01/2020,FR,9004,ECO,6
01/01/2020,FR,9004,PRI,9
01/01/2020,MI,9004,PRI,11
01/01/2020,MI,9004,ECO,3
01/01/2020,MO,9004,ECO,3
01/01/2020,MO,9004,SEM,1
01/01/2020,MO,9004,PRI,7
01/01/2020,DI,9006,PRI,1
01/01/2020,DI,9006,SEM,1
01/01/2020,DI,9006,ECO,1
01/01/2020,DO,9006,ECO,3
01/01/2020,DO,9006,PRI,5
01/01/2020,FR,9006,PRI,5
01/01/2020,FR,9006,ECO,2
01/01/2020,MI,9006,PRI,4
01/01/2020,MI,9006,ECO,6
01/01/2020,MO,9006,ECO,1
01/01/2020,MO,9006,PRI,3
01/01/2020,DI,9007,SEM,17
01/01/2020,DI,9007,PRI,81
01/01/2020,DI,9007,ECO,3
01/01/2020,DO,9007,ECO,5
01/01/2020,DO,9007,SEM,6
01/01/2020,DO,9007,PRI,84
01/01/2020,FR,9007,PRI,72
01/01/2020,FR,9007,ECO,11
01/01/2020,FR,9007,SEM,15
01/01/2020,MI,9007,PRI,66
01/01/2020,MI,9007,SEM,14
01/01/2020,MI,9007,ECO,5
01/01/2020,MO,9007,ECO,7
01/01/2020,MO,9007,PRI,65
01/01/2020,MO,9007,SEM,13
01/01/2020,SA,9007,PRI,1
01/01/2020,SA,9007,SEM,2
01/01/2020,DI,9008,PRI,1514
01/01/2020,DI,9008,ECO,578
01/01/2020,DI,9008,SEM,44
01/01/2020,DO,9008,ECO,678
01/01/2020,DO,9008,SEM,12
01/01/2020,DO,9008,PRI,1279
01/01/2020,FR,9008,SEM,25
01/01/2020,FR,9008,ECO,691
01/01/2020,FR,9008,PRI,1474
01/01/2020,MI,9008,ECO,686
01/01/2020,MI,9008,PRI,1500
01/01/2020,MI,9008,SEM,22
01/01/2020,MO,9008,PRI,907
01/01/2020,MO,9008,ECO,506
01/01/2020,MO,9008,SEM,6
01/01/2020,SA,9008,SEM,16
01/01/2020,SA,9008,ECO,10
01/01/2020,SA,9008,PRI,457
01/01/2020,SO,9008,ECO,1
01/01/2020,DI,9010,SEM,5
01/01/2020,DI,9010,ECO,201
01/01/2020,DI,9010,PRI,366
01/01/2020,DO,9010,SEM,2
01/01/2020,DO,9010,ECO,247
01/01/2020,DO,9010,PRI,309
01/01/2020,FR,9010,PRI,321
01/01/2020,FR,9010,SEM,16
01/01/2020,FR,9010,ECO,192
01/01/2020,MI,9010,PRI,346
01/01/2020,MI,9010,ECO,220
01/01/2020,MI,9010,SEM,2
01/01/2020,MO,9010,ECO,199
01/01/2020,MO,9010,SEM,1
01/01/2020,MO,9010,PRI,236
01/01/2020,SA,9010,PRI,106
01/01/2020,SA,9010,ECO,3
01/01/2020,SO,9010,PRI,1
01/01/2020,DI,9011,SEM,2
01/01/2020,DI,9011,PRI,364
01/01/2020,DI,9011,ECO,219
01/01/2020,DO,9011,SEM,4
01/01/2020,DO,9011,ECO,242
01/01/2020,DO,9011,PRI,326
01/01/2020,FR,9011,SEM,3
01/01/2020,FR,9011,ECO,277
01/01/2020,FR,9011,PRI,349
01/01/2020,MI,9011,ECO,231
01/01/2020,MI,9011,PRI,341
01/01/2020,MI,9011,SEM,1
01/01/2020,MO,9011,PRI,177
01/01/2020,MO,9011,SEM,2
01/01/2020,MO,9011,ECO,153
01/01/2020,SA,9011,SEM,1
01/01/2020,SA,9011,ECO,1
01/01/2020,SA,9011,PRI,115
01/01/2020,DI,9012,SEM,3
01/01/2020,DI,9012,ECO,149
01/01/2020,DI,9012,PRI,279
01/01/2020,DO,9012,ECO,161
01/01/2020,DO,9012,SEM,2
01/01/2020,DO,9012,PRI,240
01/01/2020,FR,9012,PRI,278
01/01/2020,FR,9012,SEM,3
01/01/2020,FR,9012,ECO,206
01/01/2020,MI,9012,ECO,210
01/01/2020,MI,9012,SEM,3
01/01/2020,MI,9012,PRI,260
01/01/2020,MO,9012,ECO,135
01/01/2020,MO,9012,PRI,121
01/01/2020,SA,9012,SEM,7
01/01/2020,SA,9012,ECO,1
01/01/2020,SA,9012,PRI,86
01/01/2020,SO,9012,PRI,1
01/01/2020,DI,9013,PRI,7
01/01/2020,DI,9013,ECO,4
01/01/2020,DO,9013,PRI,2
01/01/2020,DO,9013,ECO,2
01/01/2020,FR,9013,ECO,4
01/01/2020,FR,9013,PRI,3
01/01/2020,MI,9013,PRI,5
01/01/2020,MI,9013,ECO,2
01/01/2020,MO,9013,PRI,4
01/01/2020,MO,9013,ECO,8
01/01/2020,MO,9013,SEM,3
01/01/2020,DI,9014,SEM,26
01/01/2020,DI,9014,ECO,1246
01/01/2020,DI,9014,PRI,2169
01/01/2020,DO,9014,PRI,1946
01/01/2020,DO,9014,SEM,11
01/01/2020,DO,9014,ECO,1267
01/01/2020,FR,9014,SEM,20
01/01/2020,FR,9014,ECO,1389
01/01/2020,FR,9014,PRI,2135
01/01/2020,MI,9014,ECO,1260
01/01/2020,MI,9014,SEM,11
01/01/2020,MI,9014,PRI,2009
01/01/2020,MO,9014,SEM,9
01/01/2020,MO,9014,PRI,1219
01/01/2020,MO,9014,ECO,948
01/01/2020,SA,9014,PRI,598
01/01/2020,SA,9014,ECO,12
01/01/2020,SA,9014,SEM,12
01/01/2020,DI,9015,PRI,1931
01/01/2020,DI,9015,ECO,653
01/01/2020,DI,9015,SEM,36
01/01/2020,DO,9015,ECO,715
01/01/2020,DO,9015,SEM,25
01/01/2020,DO,9015,PRI,1827
01/01/2020,FR,9015,PRI,2004
01/01/2020,FR,9015,ECO,747
01/01/2020,FR,9015,SEM,45
01/01/2020,MI,9015,ECO,761
01/01/2020,MI,9015,SEM,33
01/01/2020,MI,9015,PRI,1978
01/01/2020,MO,9015,ECO,675
01/01/2020,MO,9015,PRI,1623
01/01/2020,MO,9015,SEM,18
01/01/2020,SA,9015,PRI,294
01/01/2020,SA,9015,SEM,18
01/01/2020,SA,9015,ECO,2
01/01/2020,SO,9015,PRI,1
01/01/2020,DI,9016,SEM,30
01/01/2020,DI,9016,PRI,2141
01/01/2020,DI,9016,ECO,857
01/01/2020,DO,9016,ECO,1041
01/01/2020,DO,9016,SEM,36
01/01/2020,DO,9016,PRI,1986
01/01/2020,FR,9016,ECO,1019
01/01/2020,FR,9016,SEM,30
01/01/2020,FR,9016,PRI,2170
01/01/2020,MI,9016,ECO,930
01/01/2020,MI,9016,PRI,2107
01/01/2020,MI,9016,SEM,39
01/01/2020,MO,9016,PRI,1229
01/01/2020,MO,9016,ECO,773
01/01/2020,MO,9016,SEM,13
01/01/2020,SA,9016,ECO,5
01/01/2020,SA,9016,SEM,27
01/01/2020,SA,9016,PRI,532
01/01/2020,DI,9020,ECO,10
01/01/2020,DI,9020,PRI,5
01/01/2020,DO,9020,ECO,7
01/01/2020,DO,9020,PRI,6
01/01/2020,FR,9020,PRI,2
01/01/2020,FR,9020,ECO,3
01/01/2020,MI,9020,PRI,5
01/01/2020,MI,9020,ECO,2
01/01/2020,MO,9020,PRI,4
01/01/2020,MO,9020,ECO,1
01/01/2020,DI,9023,ECO,22
01/01/2020,DI,9023,PRI,25
01/01/2020,DI,9023,SEM,3
01/01/2020,DO,9023,ECO,36
01/01/2020,DO,9023,PRI,21
01/01/2020,DO,9023,SEM,1
01/01/2020,FR,9023,SEM,1
01/01/2020,FR,9023,ECO,23
01/01/2020,FR,9023,PRI,21
01/01/2020,MI,9023,ECO,33
01/01/2020,MI,9023,PRI,43
01/01/2020,MI,9023,SEM,1
01/01/2020,MO,9023,SEM,1
01/01/2020,MO,9023,ECO,16
01/01/2020,MO,9023,PRI,20
01/01/2020,DI,9024,ECO,491
01/01/2020,DI,9024,PRI,28
01/01/2020,DO,9024,PRI,24
01/01/2020,DO,9024,ECO,316
01/01/2020,FR,9024,ECO,528
01/01/2020,FR,9024,PRI,23
01/01/2020,MI,9024,ECO,401
01/01/2020,MI,9024,SEM,1
01/01/2020,MI,9024,PRI,43
01/01/2020,MO,9024,PRI,29
01/01/2020,MO,9024,ECO,309
01/01/2020,FR,9025,ECO,1
01/01/2020,MI,9025,ECO,1
01/01/2020,FR,9026,PRI,1
01/01/2020,DI,9027,ECO,7
01/01/2020,DI,9027,PRI,1
01/01/2020,DO,9027,ECO,2
01/01/2020,FR,9027,ECO,3
01/01/2020,MI,9027,ECO,2
01/01/2020,MO,9027,ECO,5
01/01/2020,DI,9028,ECO,24
01/01/2020,DI,9028,PRI,3
01/01/2020,DO,9028,PRI,1
01/01/2020,DO,9028,ECO,17
01/01/2020,FR,9028,PRI,3
01/01/2020,FR,9028,ECO,19
01/01/2020,MI,9028,ECO,28
01/01/2020,MI,9028,PRI,1
01/01/2020,MO,9028,ECO,23
01/01/2020,DI,9029,SEM,2
01/01/2020,DI,9029,ECO,6
01/01/2020,DO,9029,ECO,5
01/01/2020,DO,9029,SEM,1
01/01/2020,FR,9029,ECO,11
01/01/2020,FR,9029,SEM,3
01/01/2020,MI,9029,SEM,1
01/01/2020,MI,9029,ECO,16
01/01/2020,MO,9029,SEM,1
01/01/2020,MO,9029,ECO,4
01/01/2020,SA,9029,ECO,4
01/01/2020,DI,9030,PRI,867
01/01/2020,DI,9030,SEM,8
01/01/2020,DI,9030,ECO,388
01/01/2020,DO,9030,SEM,10
01/01/2020,DO,9030,ECO,565
01/01/2020,DO,9030,PRI,751
01/01/2020,FR,9030,SEM,10
01/01/2020,FR,9030,PRI,878
01/01/2020,FR,9030,ECO,518
01/01/2020,MI,9030,SEM,7
01/01/2020,MI,9030,ECO,474
01/01/2020,MI,9030,PRI,776
01/01/2020,MO,9030,PRI,439
01/01/2020,MO,9030,SEM,4
01/01/2020,MO,9030,ECO,397
01/01/2020,SA,9030,SEM,8
01/01/2020,SA,9030,ECO,3
01/01/2020,SA,9030,PRI,322
01/01/2020,DI,9032,PRI,559
01/01/2020,DI,9032,SEM,4
01/01/2020,DI,9032,ECO,248
01/01/2020,DO,9032,SEM,8
01/01/2020,DO,9032,ECO,297
01/01/2020,DO,9032,PRI,452
01/01/2020,FR,9032,PRI,460
01/01/2020,FR,9032,SEM,7
01/01/2020,FR,9032,ECO,325
01/01/2020,MI,9032,SEM,12
01/01/2020,MI,9032,PRI,504
01/01/2020,MI,9032,ECO,281
01/01/2020,MO,9032,ECO,230
01/01/2020,MO,9032,PRI,326
01/01/2020,MO,9032,SEM,2
01/01/2020,SA,9032,SEM,7
01/01/2020,SA,9032,ECO,3
01/01/2020,SA,9032,PRI,156
01/01/2020,DI,9033,PRI,162
01/01/2020,DI,9033,ECO,84
01/01/2020,DI,9033,SEM,2
01/01/2020,DO,9033,SEM,2
01/01/2020,DO,9033,ECO,130
01/01/2020,DO,9033,PRI,135
01/01/2020,FR,9033,SEM,2
01/01/2020,FR,9033,PRI,145
01/01/2020,FR,9033,ECO,95
01/01/2020,MI,9033,SEM,2
01/01/2020,MI,9033,ECO,99
01/01/2020,MI,9033,PRI,151
01/01/2020,MO,9033,ECO,72
01/01/2020,MO,9033,SEM,1
01/01/2020,MO,9033,PRI,118
01/01/2020,SA,9033,SEM,1
01/01/2020,SA,9033,PRI,43
01/01/2020,DI,9034,SEM,2
01/01/2020,DI,9034,PRI,252
01/01/2020,DI,9034,ECO,154
01/01/2020,DO,9034,SEM,16
01/01/2020,DO,9034,ECO,226
01/01/2020,DO,9034,PRI,226
01/01/2020,FR,9034,PRI,224
01/01/2020,FR,9034,ECO,205
01/01/2020,FR,9034,SEM,23
01/01/2020,MI,9034,PRI,225
01/01/2020,MI,9034,ECO,173
01/01/2020,MO,9034,ECO,153
01/01/2020,MO,9034,PRI,130
01/01/2020,MO,9034,SEM,1
01/01/2020,SA,9034,SEM,1
01/01/2020,SA,9034,PRI,55
01/01/2020,SA,9034,ECO,2
01/01/2020,DI,9035,PRI,124
01/01/2020,DI,9035,ECO,87
01/01/2020,DI,9035,SEM,1
01/01/2020,DO,9035,ECO,109
01/01/2020,DO,9035,PRI,119
01/01/2020,FR,9035,PRI,117
01/01/2020,FR,9035,ECO,113
01/01/2020,MI,9035,ECO,100
01/01/2020,MI,9035,PRI,136
01/01/2020,MO,9035,PRI,78
01/01/2020,MO,9035,ECO,84
01/01/2020,SA,9035,ECO,2
01/01/2020,SA,9035,SEM,1
01/01/2020,SA,9035,PRI,38
01/01/2020,DI,9036,PRI,64
01/01/2020,DI,9036,ECO,42
01/01/2020,DO,9036,PRI,54
01/01/2020,DO,9036,ECO,76
01/01/2020,FR,9036,ECO,67
01/01/2020,FR,9036,PRI,54
01/01/2020,MI,9036,ECO,53
01/01/2020,MI,9036,PRI,51
01/01/2020,MO,9036,ECO,45
01/01/2020,MO,9036,PRI,29
01/01/2020,SA,9036,PRI,13
01/01/2020,SA,9036,ECO,3
01/01/2020,DI,9037,SEM,1
01/01/2020,DI,9037,PRI,93
01/01/2020,DI,9037,ECO,48
01/01/2020,DO,9037,ECO,77
01/01/2020,DO,9037,PRI,93
01/01/2020,FR,9037,ECO,78
01/01/2020,FR,9037,SEM,1
01/01/2020,FR,9037,PRI,95
01/01/2020,MI,9037,ECO,71
01/01/2020,MI,9037,PRI,91
01/01/2020,MO,9037,PRI,43
01/01/2020,MO,9037,ECO,49
01/01/2020,SA,9037,PRI,38
01/01/2020,SA,9037,SEM,2
01/01/2020,DI,9038,ECO,160
01/01/2020,DI,9038,PRI,306
01/01/2020,DI,9038,SEM,2
01/01/2020,DO,9038,ECO,204
01/01/2020,DO,9038,PRI,216
01/01/2020,DO,9038,SEM,4
01/01/2020,FR,9038,PRI,228
01/01/2020,FR,9038,ECO,228
01/01/2020,FR,9038,SEM,3
01/01/2020,MI,9038,ECO,205
01/01/2020,MI,9038,PRI,275
01/01/2020,MO,9038,PRI,126
01/01/2020,MO,9038,ECO,145
01/01/2020,SA,9038,ECO,1
01/01/2020,SA,9038,PRI,57
01/01/2020,SA,9038,SEM,8
01/01/2020,DI,9042,SEM,32
01/01/2020,DI,9042,PRI,708
01/01/2020,DI,9042,ECO,338
01/01/2020,DO,9042,ECO,395
01/01/2020,DO,9042,PRI,558
01/01/2020,DO,9042,SEM,4
01/01/2020,FR,9042,PRI,669
01/01/2020,FR,9042,ECO,459
01/01/2020,FR,9042,SEM,12
01/01/2020,MI,9042,PRI,617
01/01/2020,MI,9042,ECO,398
