bfs_no,month,weekday,packages,mean_age,total_pop,share_0to14,share_15to19,share_20to39,share_40to64,share_65to79,share_above80,share_foreigners,share_catholics,share_other_relig,share_protestants,unemployment_rate,taxpower,share_tertiary,firms,E,N,distance_to_nearest_city
3201,January,DI,403,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,January,DO,359,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,January,FR,357,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,January,MI,346,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,January,MO,230,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,January,SA,53,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,February,DI,361,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,February,DO,331,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,February,FR,280,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,February,MI,338,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,February,MO,249,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,February,SA,59,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,March,DI,531,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,March,DO,404,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,March,FR,320,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,March,MI,375,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,March,MO,350,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,March,SA,56,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,April,DI,538,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,April,DO,550,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,April,FR,371,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,April,MI,615,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,April,MO,267,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,April,SA,265,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,May,DI,421,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,May,DO,370,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
3201,May,FR,585,39.0,1389.0,20.9,5.1,26.1,33.8,9.4,4.8,8.4,57.0,21.7,21.2,0.8,90.9,59.9,106.0,9.354106581463435,47.49658779263809,8.133982499168567
